Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,transaction_id,transaction_timestamp,merchant_id,merchant_category,city,country,payment_channel,transaction_status,risk_score,is_fraud,ingestion_date,source_system,batch_id
703128422,Silver,445,0,88,2023-08-20,Week-31,Q4,2023,7341.98,1752.22,10558.3,87,0.468,Chip,Fuel,6657.87,0,TXN1026891,2023-01-15 03:57:00,6125,Fuel,Chennai,India,ONLINE,SUCCESS,0.39,0,2026-02-01,CARD_SYS,1260
733746365,Blue,0,1,113,2023-04-02,Week-51,Q1,2023,12624.63,2744.31,13408.49,199,0.546,Chip,Entertainment,5465.23,0,TXN1025024,2023-03-01 09:51:00,9755,Entertainment,Mumbai,India,POS,SUCCESS,0.88,0,2026-02-01,CARD_SYS,1207
735542454,Silver,995,0,124,2023-07-16,Week-52,Q4,2023,8947.41,4517.08,7791.05,255,0.755,Chip,Electronics,6426.42,0,TXN1011666,2023-03-23 15:21:00,9168,Electronics,Chennai,India,ONLINE,SUCCESS,0.45,0,2026-02-01,CARD_SYS,1563
725426195,Blue,0,1,91,2023-10-15,Week-2,Q2,2023,14968.61,3300.21,21699.78,238,0.579,Swipe,Fuel,3878.83,0,TXN1040303,2023-12-24 00:19:00,7895,Fuel,Delhi,India,POS,SUCCESS,0.43,0,2026-02-01,CARD_SYS,1859
723590236,Blue,445,1,117,2023-08-27,Week-3,Q3,2023,5275.46,3065.58,48688.5,36,0.498,Chip,Electronics,1691.78,0,TXN1018010,2023-08-17 22:58:00,7999,Electronics,Delhi,India,POS,SUCCESS,0.89,0,2026-02-01,CARD_SYS,1753
706423959,Silver,445,0,117,2023-01-29,Week-5,Q4,2023,8742.68,612.07,927.79,192,0.165,Online,Grocery,3284.95,0,TXN1002935,2023-05-09 11:50:00,6104,Grocery,Mumbai,India,POS,SUCCESS,0.52,0,2026-02-01,CARD_SYS,1870
710196824,Blue,445,1,93,2023-04-23,Week-17,Q3,2023,5558.32,1018.7,12306.13,105,0.715,Chip,Grocery,2531.82,0,TXN1048674,2023-09-07 14:14:00,6559,Grocery,Chennai,India,POS,SUCCESS,0.18,0,2026-02-01,CARD_SYS,1682
799894539,Blue,445,1,79,2023-07-30,Week-8,Q1,2023,9906.74,1572.65,7340.22,267,0.161,Chip,Food,4247.44,1,TXN1013591,2023-05-04 15:18:00,8711,Food,Delhi,India,ONLINE,SUCCESS,0.83,0,2026-02-01,CARD_SYS,1710
741858352,Blue,995,1,99,2023-11-26,Week-38,Q3,2023,13866.02,3410.03,15221.83,8,0.784,Swipe,Entertainment,4816.99,0,TXN1023096,2023-01-17 04:28:00,5303,Entertainment,Mumbai,India,POS,SUCCESS,0.08,0,2026-02-01,CARD_SYS,1778
707768540,Blue,0,1,62,2023-12-24,Week-22,Q1,2023,8903.29,1908.67,30163.77,256,0.353,Online,Food,5289.61,0,TXN1047071,2023-10-18 20:18:00,9530,Food,Chennai,India,POS,SUCCESS,0.05,0,2026-02-01,CARD_SYS,1254
785022887,Blue,445,1,133,2023-01-15,Week-32,Q4,2023,2849.34,4871.73,49930.04,82,0.672,Swipe,Fuel,5284.41,0,TXN1036615,2023-04-07 01:20:00,7807,Fuel,Mumbai,India,ATM,SUCCESS,0.01,0,2026-02-01,CARD_SYS,1509
719759192,Blue,200,1,50,2023-10-29,Week-32,Q3,2023,13897.59,1282.58,33980.42,65,0.309,Online,Grocery,6310.74,0,TXN1035166,2023-01-12 08:26:00,8996,Grocery,Delhi,India,ATM,REVERSED,0.53,0,2026-02-01,CARD_SYS,1676
