Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score,transaction_date,country,currency,channel,merchant_category,payment_gateway,is_international,etl_load_date,data_source
711843708,45,F,1,Unknown,Single,TX,91750,no,yes,yes,unknown,Govt,33075,1,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
715698633,56,F,1,Graduate,Married,FL,91750,yes,no,no,cellular,White-collar,25928,1,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
714080433,52,M,2,Graduate,Single,FL,91750,no,yes,no,cellular,Businessman,76975,2,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
811457058,35,F,4,High School,Married,CA,91750,no,yes,no,cellular,Businessman,18680,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
789939558,48,M,4,Unknown,Single,FL,91750,yes,no,no,telephone,White-collar,93843,3,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
791730183,43,M,4,Graduate,Single,FL,91750,yes,no,no,cellular,Businessman,92135,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
713135883,41,F,3,High School,Single,CA,91750,no,no,no,cellular,Selfemployeed,14975,3,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
778131333,39,M,3,Unknown,Single,NY,91750,yes,no,yes,cellular,Govt,94726,4,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
720068808,32,M,3,Graduate,Married,FL,91750,no,yes,no,unknown,White-collar,44739,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
820981383,40,F,3,Uneducated,Single,IL,91750,no,yes,no,cellular,Selfemployeed,14975,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
779401233,40,M,4,Graduate,Unknown,NY,91750,yes,yes,yes,cellular,Blue-collar,96017,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
720756708,46,F,2,Post-Graduate,Single,CA,91750,yes,no,no,unknown,White-collar,17615,4,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
789878283,48,F,5,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,White-collar,136280,4,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
789504183,59,F,2,Uneducated,Married,FL,91750,no,yes,no,cellular,Retirees,30072,5,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
824782008,54,F,3,High School,Married,TX,91750,no,yes,no,unknown,Selfemployeed,10378,3,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
760104333,40,F,1,High School,Married,CA,91750,no,yes,no,cellular,White-collar,35726,3,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
816013383,51,F,2,Doctorate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,4,2026-02-01 15:40:02.604754,India,INR,Online,Retail,VISA,0,2026-02-01 15:40:02.613114,Synthetic_Credit_Card_ADF
